title,current_price,normal_price,link
NIKE ROMALEOS 4 SE OLY,"210,00 €","210,00 €",/
NIKE METCON 9 - MUJER,"118,96 €",0%,/blog
NIKE METCON 9 - MUJER,"118,96 €","139,95 €",/challenge
NIKE METCON 9 - MUJER,"118,96 €",-15%,/new
TYR CXT-1 TRAINER - UNISEX,"153,99 €","139,95 €",/hombre
TYR CXT-1 TRAINER - UNISEX,"153,99 €",-15%,/mujer
TYR CXT-1 TRAINER - UNISEX,"153,99 €","139,95 €",/zapatillas
TYR CXT-1 TRAINER - UNISEX,"153,99 €",-15%,/accesorios
TYR CXT-1 TRAINER - UNISEX,"153,99 €","153,99 €",/store/giftcard
NIKE METCON 9 PRM,"111,99 €",0%,/rebajas
NIKE METCON 9 AMP - MUJER,"119,96 €","153,99 €",/zapatillas/nike-romaleos-4-se-oly/169794
NIKE VERSAIR,"111,99 €",0%,/zapatillas/nike-metcon-9-mujer/167790
NIKE METCON 9 PRM - MUJER,"116,00 €","153,99 €",/zapatillas/nike-metcon-9-mujer/168280
NIKE METCON 9 EASYON - MUJER,"111,96 €",0%,/zapatillas/nike-metcon-9-mujer/168281
REEBOK NANO X4 - MUJER,"112,00 €","153,99 €",/zapatillas/tyr-trainer-unisex/169019
REEBOK NANO X4 - MUJER,"112,00 €",0%,/zapatillas/tyr-trainer-unisex/169020
NIKE METCON 9 EASYON - MUJER,"111,96 €","153,99 €",/zapatillas/tyr-trainer-unisex/169021
ADIDAS THE TOTAL - UNISEX,"96,00 €",0%,/zapatillas/tyr-trainer-unisex/119966
NIKE METCON 9 - MUJER,"118,96 €","139,98 €",/zapatillas/tyr-trainer-unisex/169309
TYR CXT-1 TRAINER - UNISEX,"153,99 €",-20%,/zapatillas/nike-metcon9-prm/168304
REEBOK LEGACY LIFTER III - MUJER,"149,96 €","149,95 €",/zapatillas/nike-metcon-9-amp-mujer/168282
NIKE FREE METCON 5 - MUJER,"110,46 €",-20%,/zapatillas/nike-versair/167806
NIKE METCON 9 - MUJER,"118,96 €","139,98 €",/zapatillas/nike-metcon-9-prm-mujer/167810
REEBOK NANO X4 - MUJER,"112,00 €",-20%,/zapatillas/nike-metcon-9-flyease-mujer/167793
REEBOK NANOFLEX TR 2 - MUJER,"59,96 €","144,99 €",/zapatillas/reebok-nano-x4-mujer/167967
REEBOK NANO X4 - MUJER,"112,00 €",-20%,/zapatillas/reebok-nano-x4-mujer/167990
UNDER ARMOUR TRIBASE REIGN 6 - MUJER,"98,00 €","139,95 €",/zapatillas/nike-metcon-9-flyease-mujer/168283
UNDER ARMOUR TRIBASE REIGN 6 - MUJER,"98,00 €",-20%,/zapatillas/adidas-the-total-unisex/168756
UNDER ARMOUR FLOW DYNAMIC - WOMEN,"97,50 €","140,00 €",/zapatillas/nike-metcon-9-mujer/168279
NIKE METCON 9 - MUJER,"83,97 €",-20%,/zapatillas/tyr-trainer-unisex/168401
