date,time,model,color,current_price,normal_price,link
2023-01-01,05:18:50,TRIBASE REIGN 6,white/distant gray/black,142.92€,136.37€,https://www.zalando.es/under-armour-tribase-reign-6-zapatillas-de-entrenamiento-whitedistant-grayblack-un242a0lb-a11.html
2023-01-01,20:29:34,METCON 9,pink oxford/white/diffused taupe/pearl pink,55.37€,74.53€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-pink-oxfordwhitediffused-taupepearl-pink-n1241a189-j11.html
2023-01-03,22:35:43,CXT2,black,61.38€,85.65€,https://www.zalando.es/tyr-cxt2-zapatillas-de-entrenamiento-black-ty641a003-q13.html
2023-01-03,01:32:33,METCON 9,armory navy/platinum violet/plum dust/aegean storm,108.16€,142.58€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-armory-navyplatinum-violetplum-dustaegean-storm-n1241a189-k12.html
2023-01-04,09:42:36,METCON 9,barely volt/olive aura/cargo khaki/black,60.30€,71.25€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-barely-voltolive-auracargo-khakiblack-n1241a19o-e11.html
2023-01-04,04:41:59,MC 3,football grey/hot fuchsia/armory navy,72.76€,78.47€,https://www.zalando.es/nike-performance-mc-trainer-3-zapatillas-de-entrenamiento-football-greyhot-fuchsiaarmory-navy-n1241a1ad-q12.html
2023-01-06,10:32:59,LEGEND ESSENTIAL 3,ashen slate/sundial/white/football grey,163.96€,151.91€,https://www.zalando.es/nike-performance-legend-essential-3-zapatillas-de-entrenamiento-ashen-slatesundialwhitefootball-grey-n1242a2gx-c17.html
2023-01-06,04:16:29,NANOFLEX TR 2,barely grey team teal footwear white,88.78€,82.63€,https://www.zalando.es/reebok-nanoflex-zapatillas-de-entrenamiento-barely-grey-team-teal-footwear-white-re541a18l-c11.html
2023-01-08,21:47:25,NFX TRAINER,blue/black/footwear white,75.41€,75.53€,https://www.zalando.es/reebok-nfx-trainer-zapatillas-de-entrenamiento-blueblackfootwear-white-re542a180-k11.html
2023-01-09,01:55:43,METCON 9,smokey mauve/black/platinum violet,152.69€,127.60€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-smokey-mauveblackplatinum-violet-n1241a189-i11.html
2023-01-09,20:16:00,NFX,ash pugry pugry,116.60€,133.80€,https://www.zalando.es/reebok-nfx-zapatillas-de-running-estables-ash-pugry-pugry-re542a154-c11.html
2023-01-10,14:26:01,FUSE 3.0,black/redmazing,129.51€,149.37€,https://www.zalando.es/puma-fuse-30-zapatillas-de-entrenamiento-blackredmazing-pu142a1r6-q12.html
2023-01-10,10:22:18,NANO GYM,white/unleashed green/kinetic blue,100.62€,117.48€,https://www.zalando.es/reebok-nano-gym-zapatillas-de-entrenamiento-whiteunleashed-greenkinetic-blue-re542a18l-k11.html
