date,time,model,color,current_price,normal_price,link
2024-01-01,06:32:53,METCON 9,light silver/metallic silver/summit white/jade horizon,99.52€,130.63€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-light-silvermetallic-silversummit-whitejade-horizon-n1241a189-d11.html
2024-01-01,23:28:48,NANO COURT,white digital lime aqua,54.28€,73.99€,https://www.zalando.es/reebok-low-non-football-nano-court-zapatillas-de-entrenamiento-white-digital-lime-aqua-re544a07p-a11.html
2024-01-01,13:36:46,NANOFLEX 2,acidyellow black vectorred,nan€,90.62€,https://www.zalando.es/reebok-nanoflex-tr-zapatillas-de-entrenamiento-acidyellow-black-vectorred-re542a157-e11.html
2024-01-01,18:53:11,METCON 9,barely volt/olive aura/cargo khaki/black,59.11€,92.41€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-barely-voltolive-auracargo-khakiblack-n1241a19o-e11.html
2024-01-02,06:19:36,NANO COURT,white/black/grey,108.87€,141.16€,https://www.zalando.es/reebok-nano-court-zapatillas-de-entrenamiento-whiteblackgrey-re541a198-a11.html
2024-01-02,21:09:57,MC 3,cement grey/light lemon twist/black/white,nan€,84.57€,https://www.zalando.es/nike-performance-mc-trainer-3-zapatillas-de-entrenamiento-cement-greylight-lemon-twistblackwhite-n1242a2r7-q12.html
2024-01-03,10:15:07,NFX TRAINER,white black green,56.22€,70.92€,https://www.zalando.es/reebok-nfx-trainer-zapatillas-de-entrenamiento-footwear-white-black-unleashed-green-re541a18g-a14.html
2024-01-03,07:40:55,NANO GYM,white/unleashed green/kinetic blue,nan€,111.78€,https://www.zalando.es/reebok-nano-gym-zapatillas-de-entrenamiento-whiteunleashed-greenkinetic-blue-re542a18l-k11.html
2024-01-03,01:30:11,DISPERSE XT 3 UNISEX,black/fire orchid/white,nan€,127.16€,https://www.zalando.es/puma-disperse-xt-3-zapatillas-de-entrenamiento-blackfire-orchidwhite-pu142a1kr-q11.html
2024-01-03,07:56:24,METCON 9 FLYEASE,cement grey/hot punch/black/concord/green frost,107.55€,141.34€,https://www.zalando.es/nike-performance-metcon-9-flyease-zapatillas-de-entrenamiento-cement-greyhot-punchblackconcordgreen-frost-n1244a0hw-q13.html
