date,time,model,color,current_price,normal_price,link
2024-11-19,16:29:26,METCON 9,light iron ore/aster pink/light orewood brown/khaki,"118,95 €","139,95 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-light-iron-oreaster-pinklight-orewood-brownkhaki-n1241a189-c11.html
2024-11-19,16:29:26,METCON 9,light iron ore/flat pewter/black,"104,95 €","139,95 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-light-iron-oreflat-pewterblack-n1242a2nl-q12.html
2024-11-19,16:29:26,METCON 9,black/white/anthracite/smoke grey,"105,00 €","140,00 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-blackwhiteanthracitesmoke-grey-n1241a189-q11.html
2024-11-19,16:29:26,NANO,midnight/plum/black,"123,19 €","139,99 €",https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-midnightplumblack-re541a18k-q12.html
2024-11-19,16:29:26,METCON 9,light silver/metallic silver/summit white/jade horizon,"104,95 €","139,95 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-light-silvermetallic-silversummit-whitejade-horizon-n1241a189-d11.html
2024-11-19,16:29:26,METCON 9,white/volt cyber/summit white/black,"104,95 €","139,95 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-whitevolt-cybersummit-whiteblack-n1241a189-a16.html
2024-11-19,16:29:26,METCON 9,astronomy blue/black/hyper crimson/pale ivory,"125,95 €","139,95 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-astronomy-blueblackhyper-crimsonpale-ivory-n1242a2nl-k11.html
2024-11-19,16:29:26,NANO,black/purgry,"125,98 €","139,99 €",https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-blackpurgry-re542a17z-q12.html
2024-11-19,16:29:26,METCON 9,armory navy/platinum violet/plum dust/aegean storm,"119,00 €","140,00 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-armory-navyplatinum-violetplum-dustaegean-storm-n1241a189-k12.html
2024-11-19,16:29:26,NANO,black/footwear white,"82,95 €","109,95 €",https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-blackfootwear-white-re542a17z-q13.html
2024-11-19,16:29:26,FUSE 3.0,midnight plum/vapor gray/sunset glow,"123,19 €","139,99 €",https://www.zalando.es/puma-fuse-30-zapatillas-de-entrenamiento-midnight-plumvapor-graysunset-glow-pu141a0zt-i11.html
2024-11-19,16:29:26,FUSE 3.0,black/cool dark gray/olive green/putty,"60,00 €","85,00 €",https://www.zalando.es/puma-fuse-30-zapatillas-de-entrenamiento-blackcool-dark-grayolive-greenputty-pu142a1r6-q11.html
2024-11-19,16:29:26,METCON 9,guava ice/black/royal pulse/persian violet/light wild mango/crimson tint,"118,95 €","139,95 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-guava-iceblackroyal-pulsepersian-violetlight-wild-mangocrimson-tint-n1241a189-h11.html
2024-11-19,16:29:26,METCON 9,white/deep royal blue/fierce pink/aquarius blue/light laser orange,"105,00 €","140,00 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-whitedeep-royal-bluefierce-pinkaquarius-bluelight-laser-orange-n1242a2nl-a12.html
2024-11-19,16:29:26,METCON 9 FLYEASE,dark grey/pink,"118,95 €","139,95 €",https://www.zalando.es/nike-performance-metcon-9-flyease-zapatillas-de-entrenamiento-dark-greypink-n1241a18b-c11.html
2024-11-19,16:29:26,NANOFLEX 2,footwear white black unleashed green,"125,98 €","139,99 €",https://www.zalando.es/reebok-nanoflex-tr-2-zapatillas-de-entrenamiento-footwear-white-black-unleashed-green-re542a157-a12.html
2024-11-19,16:29:26,METCON 9,light army/black/cargo khaki/sequoia,"109,78 €","121,99 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-light-armyblackcargo-khakisequoia-n1242a2nl-m11.html
2024-11-19,16:29:26,METCON 9 FLYEASE,cement grey/hot punch/black/concord/green frost,"111,97 €","140,00 €",https://www.zalando.es/nike-performance-metcon-9-flyease-zapatillas-de-entrenamiento-cement-greyhot-punchblackconcordgreen-frost-n1244a0hw-q13.html
2024-11-19,16:29:26,METCON 9,concord/green frost,"77,95 €","119,95 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-cement-greyhot-punchblack-concordgreen-frost-n1242a2nl-q14.html
2024-11-19,16:29:26,NANO COURT,white/black/grey,"104,95 €","139,95 €",https://www.zalando.es/reebok-nano-court-zapatillas-de-entrenamiento-whiteblackgrey-re541a198-a11.html
2024-11-19,16:29:26,NANO,black/midnight plum/coral,"118,95 €","139,95 €",https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-blackmidnight-plumcoral-re541a18k-q13.html
2024-11-19,16:29:26,METCON 9,black/white/anthracite/smoke grey,"62,98 €","69,99 €",https://www.zalando.es/nike-performance-metcon-9-unisex-zapatillas-de-entrenamiento-blackwhiteanthracitesmoke-grey-n1244a0hv-q11.html
2024-11-19,16:29:26,NANO,footwear white/unleashed green/grey,"83,95 €","120,00 €",https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-footwear-whiteunleashed-greengrey-re542a17z-c11.html
2024-11-19,16:29:26,METCON 9,football grey/sundial/light armory blue/ashen slate/light carbon,"112,00 €","140,00 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-football-greysundiallight-armory-blueashen-slatelight-carbon-n1242a2nl-q13.html
2024-11-19,16:29:26,NANO,footwear white/black,"118,95 €","139,95 €",https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-footwear-whiteblack-re542a17z-a11.html
2024-11-19,16:29:26,METCON 9,hyper crimson/black/hyper orange,"64,00 €","80,00 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-hyper-crimsonblackhyper-orange-n1242a2nl-h11.html
2024-11-19,16:29:26,NFX TRAINER,white black green,"56,00 €","70,00 €",https://www.zalando.es/reebok-nfx-trainer-zapatillas-de-entrenamiento-footwear-white-black-unleashed-green-re541a18g-a14.html
